,full_name,position,status,player_id,adp_ppr
,Geno Smith,QB,Active,1373,117.2,279.98
,Brian Winters,OL,Active,1374,999
,Ryan Jensen,C,Active,1378,999
,Kyle Juszczyk,FB,Active,1379,999
,John Simon,LB,Active,1381,999
,Rick Wagner,G,Active,1382,999
,Brandon Williams,DT,Active,1383,999
,Giovani Bernard,RB,Active,1386,493
,Rex Burkhead,RB,Active,1387,999,27.6
,Margus Hunt,DE,Active,1392,999
,Shawn Williams,DB,Active,1395,999
,Chris Hubbard,T,Active,1407,999
,Le'Veon Bell,RB,Active,1408,999
,Nick Williams,DE,Active,1414,999
,Blidi Wreh-Wilson,CB,Active,1423,999
,Ryan Griffin,TE,Active,1425,515.5,30.2
,DeAndre Hopkins,WR,Active,1426,47.1,212.6
,David Quessenberry,OL,Active,1428,999
,D.J. Swearinger,DB,Active,1429,999
,Brandon McManus,K,Active,1433,159.5,100
,C.J. Anderson,RB,Active,1451,999
,Lerentee McCray,DE,Active,1453,999
,Kayvon Webster,CB,Active,1459,999
,Travis Kelce,TE,Active,1466,5.6,254.7
,D.J. Hayden,CB,Active,1472,999
,Latavius Murray,RB,Active,1476,999,48.4
,Keenan Allen,WR,Active,1479,39.8,227.7
,D.J. Fluker,T,Active,1480,999
,B.W. Webb,CB,Active,1488,999
,Johnathan Hankins,DT,Active,1492,999
,Damontre Moore,DE,Active,1494,999
,Chris Thompson,RB,Active,1502,999
,Tress Way,P,Active,1506,999
,Kyle Long,OG,Active,1509,999
,Jordan Mills,T,Active,1510,999
,Sam Martin,P,Active,1516,999
,Darius Slay,CB,Active,1518,999,6
,Larry Warford,G,Active,1519,999
,David Bakhtiari,OT,Active,1521,999
,Micah Hyde,DB,Active,1525,999,7.5
,Datone Jones,DT,Active,1526,999
,J.C. Tretter,C,Active,1529,999
,Cordarrelle Patterson,RB,Active,1535,222.7,69.4
,Xavier Rhodes,CB,Active,1536,999
,Paul Worrilow,LB,Active,1539,999
,Robert Alford,CB,Active,1540,999
,Kemal Ishmael,SS,Active,1542,999
,Desmond Trufant,CB,Active,1545,999
,A.J. Klein,LB,Active,1547,999,2
,Star Lotulelei,DT,Active,1548,999
,Kawann Short,DT,Active,1549,999
,Ryan Griffin,QB,Active,1550,999
,Terron Armstead,T,Active,1552,999
,John Jenkins,DT,Active,1553,999
,Kenny Stills,WR,Active,1555,999
,William Gholston,DE,Active,1558,999
,Mike Glennon,QB,Active,1559,999
,Akeem Spence,DT,Active,1562,999
,Daren Bates,LB,Active,1563,999
,Cody Davis,DB,Active,1565,999
,Tavon Austin,WR,Active,1567,999
,Alec Ogletree,LB,Active,1572,999
,Tyrann Mathieu,DB,Active,1576,999,9
,Kevin Minter,LB,Active,1577,999
,Alex Okafor,DE,Active,1578,999
,Earl Watford,OL,Active,1580,999
,Eric Reid,SS,Active,1590,999
,Darren Fells,TE,Active,1592,294
,Nick Williams,WR,Active,1604,999
,Rontez Miles,FS,Active,1608,999
,Otha Foster,SS,Active,1613,999
,Josh Martin,LB,Active,1616,999
,Bradley McDougald,DB,Active,1617,999
,Demetrius Harris,TE,Active,1619,669.8
,Jahleel Addae,DB,Active,1620,999
,Frank Beltre,ILB,Active,1622,999
,Will Compton,LB,Active,1626,999
,LaAdrian Waddle,T,Active,1629,999
,Rashaan Melvin,CB,Active,1633,999
,Patrick Omameh,OL,Active,1639,999
,Mike Purcell,NT,Active,1640,999
,Terrell Sinkfield,WR,Active,1652,999
,Josh Kline,G,Active,1653,999
,Brandon Copeland,LB,Active,1657,999
,Jordan Devey,OL,Active,1658,999
,Will Pericak,G,Active,1659,999
,Brynden Trawick,FS,Active,1660,999
,LaRoy Reynolds,LB,Active,1666,999
,Carson Tinker,LS,Active,1668,999
,Lawrence Okoye,DT,Active,1670,999
,Nickell Robey-Coleman,CB,Active,1672,999
,A.J. Bouye,CB,Active,1674,999
,Uzoma Nwachukwu,WR,Active,1678,323.3
,Jaron Brown,WR,Active,1684,999
,Tony Jefferson,DB,Active,1686,999
,Adam Thielen,WR,Active,1689,119.7,157.8
,Ryan Allen,P,Active,1694,999
,Brandon Williams,CB,Active,1696,999
,Jeff Heath,DB,Active,1700,999
,Eric Rogers,WR,Active,1701,999
,Lane Taylor,OL,Active,1702,999
,Michael Thomas,DB,Active,1703,999
,Jack Doyle,TE,Active,1706,378.8
,Derek Carrier,TE,Active,1718,431
,Andrew DePaola,LS,Active,1721,999
,Mike Remmers,T,Active,1722,999
,Ben Garland,OG,Active,1728,999
,Nathan Stupar,LB,Active,1729,999
,Kenny Wiggins,G,Active,1730,999
,Case Keenum,QB,Active,1737,999,11.84
,Patrick Scales,LS,Active,1745,999
,Benson Mayowa,DE,Active,1764,999
,Ray-Ray Armstrong,LB,Active,1770,999
,Deon Lacey,LB,Active,1774,999
,Mitchell White,CB,Active,1779,999
,James Winchester,LS,Active,1785,999
,Beau Allen,NT,Active,1788,999
,Josh Andrews,C,Active,1789,999
,Karim Barton,G,Active,1791,999
,David Fluellen,RB,Active,1794,999
,Alejandro Villanueva,OT,Active,1805,999
,Preston Brown,LB,Active,1808,999
,Ross Cockrell,CB,Active,1809,999
,Seantrel Henderson,T,Active,1811,999
,Kenny Ladler,FS,Active,1815,999
,Sammy Watkins,WR,Active,1817,999,12.9
,Walt Aikens,SS,Active,1818,999
,Tyler Larsen,C,Active,1826,999
,Michael Ola,T,Active,1829,999
,Billy Turner,OL,Active,1832,999
,Damien Williams,RB,Active,1833,999,20.2
,Cam Fleming,T,Active,1836,999
,Jimmy Garoppolo,QB,Active,1837,237,220.52
,Jon Halapio,G,Active,1840,999
,Stephen Houston,RB,Active,1841,999
,Tyler Ott,LS,Active,1844,999
,James White,RB,Active,1848,999
,Quincy Enunwa,WR,Active,1854,999
,Shaquelle Evans,WR,Active,1855,367.4
,Kerry Hyder,DE,Active,1857,999
,Brent Qvale,OT,Active,1860,999
,Terrence Brooks,DB,Active,1864,999
,James Hurst,OL,Active,1870,999
,Timmy Jernigan,DT,Active,1872,999
,Richie Leone,P,Active,1873,999
,Jamie Meder,DT,Active,1874,999
,C.J. Mosley,LB,Active,1875,999,6.5
,Brent Urban,DE,Active,1881,999
,Darqueze Dennard,CB,Active,1887,999
,Trey Hopkins,C,Active,1893,999
,Joel Bitonio,OG,Active,1900,999
,Pierre Desir,CB,Active,1902,999
,Christian Kirksey,LB,Active,1905,999,6.5
,Willie Snead,WR,Active,1911,478.3
,K'Waun Williams,CB,Active,1913,999,3
,Josh Mauro,DE,Active,1920,999
,Roy Philon,NT,Active,1922,999
,Shaquille Richardson,CB,Active,1923,999
,Stephon Tuitt,DE,Active,1925,999
,DaQuan Jones,DT,Active,1932,999,1
,Justin McCray,OL,Active,1934,999
,Derel Walker,WR,Active,1939,999
,Avery Williamson,LB,Active,1940,999
,Chris Boswell,K,Active,1945,999,93
,Jadeveon Clowney,DE,Active,1947,999
,Matt Feiler,G,Active,1949,999
,James Ferentz,OL,Active,1950,999
,Xavier Su'a-Filo,G,Active,1958,999
,Bryan Witzmann,G,Active,1961,999
,Jonotthan Harrison,OL,Active,1963,999
,Zach Kerr,DE,Active,1965,999
,Donte Moncrief,WR,Active,1971,474.3
,Cody Parkey,K,Active,1974,999
,Blake Bortles,QB,Active,1979,999
,Aaron Colvin,CB,Active,1982,999
,Allen Hurns,WR,Active,1984,999
,Brandon Linder,OL,Active,1988,999
,Rashaad Reynolds,CB,Active,1991,999
,Allen Robinson,WR,Active,1992,999,101.8
,Tyler Shatley,OL,Active,1993,999
,Chris Smith,DE,Active,1994,999
,Josh Wells,T,Active,1997,999
,Shaquil Barrett,LB,Active,1999,999,7
,Bennie Fowler,WR,Active,2003,999
,Corey Nelson,LB,Active,2005,999
,Matt Paradis,C,Active,2006,999
,Bradley Roby,CB,Active,2008,999
,Laurent Duvernay-Tardif,OL,Active,2014,999
,Dee Ford,DE,Active,2015,999
,Phillip Gaines,CB,Active,2017,999
,Cairo Santos,K,Active,2020,999,77
,Daniel Sorensen,DB,Active,2022,999
,Albert Wilson,WR,Active,2025,999
,Denico Autry,DE,Active,2027,999,9.5
,Derek Carr,QB,Active,2028,165,249.08
,T.J. Carrie,CB,Active,2029,999
,Justin Ellis,DT,Active,2031,999
,Shelby Harris,DE,Active,2033,999
,Gabe Jackson,G,Active,2034,999
,Khalil Mack,LB,Active,2036,999,12
,Scott Simonson,TE,Active,2040,522.5
,Jeremiah Attaochu,LB,Active,2042,999
,Anthony Hitchens,LB,Active,2062,999
,Casey Kreiter,LS,Active,2063,999
,DeMarcus Lawrence,DE,Active,2064,999,9
,Zack Martin,G,Active,2066,999
,Ronald Patrick,C,Active,2069,999
,Keith Smith,FB,Active,2073,999
,Odell Beckham,WR,Active,2078,105.4,162.6
,Xavier Grimble,TE,Active,2082,615.8
,Bennett Jackson,DB,Active,2083,999
,Devon Kennard,LB,Active,2084,999
,Kerry Wynn,DE,Active,2089,999
,Bashaud Breeland,CB,Active,2091,999
,Ryan Grant,WR,Active,2093,999
,Morgan Moses,OL,Active,2098,999
,Brandon Dunn,NT,Active,2105,999
,David Fales,QB,Active,2106,999
,Christian Jones,LB,Active,2110,999
