,pts_ppr,rank_ppr,pos_rank_ppr,full_name
,0,2829,308,Shawn Williams
,0,4063,537,Barkevious Mingo
,0,5341,467,Le'Veon Bell
,0,4947,372,Nick Williams
,0,2691,355,Vince Williams
,0,2532,257,Blidi Wreh-Wilson
,0,715,58,Ryan Griffin
,0,557,100,DeAndre Hopkins
,0,480,58,D.J. Swearinger
,0,511,9,Brandon McManus
,0,1427,169,Chris Banjo
,0,4181,49,Johnathan Cyprien
,0,3009,258,C.J. Anderson
,0,1855,142,Lerentee McCray
,0,681,65,Kayvon Webster
,0,4390,327,Sylvester Williams
,0,604,50,Travis Kelce
,0,1867,189,D.J. Hayden
,0,4059,303,Stacy McGee
,0,2382,206,Latavius Murray
,0,2544,433,Keenan Allen
,0,242,28,Manti Te'o
,0,2559,262,B.W. Webb
,0,2514,186,Johnathan Hankins
,0,137,11,Damontre Moore
,0,3434,296,Jordan Reed
,0,4041,357,Chris Thompson
,0,4298,574,Jon Bostic
,0,43,3,Ezekiel Ansah
,0,5196,453,Theo Riddick
,0,1997,204,Darius Slay
,0,308,30,Micah Hyde
,0,2106,150,Datone Jones
,0,4032,354,Cordarrelle Patterson
,0,3873,421,Xavier Rhodes
,0,1076,136,Paul Worrilow
,0,815,84,Robert Alford
,0,3424,42,Kemal Ishmael
,0,4744,494,Desmond Trufant
,0,3720,323,Kenjon Barner
,0,625,74,A.J. Klein
,0,3465,266,Star Lotulelei
,0,121,12,Kawann Short
,0,5222,244,Ryan Griffin
,0,2103,149,John Jenkins
,0,4355,763,Kenny Stills
,0,4726,55,Kenny Vaccaro
,0,3565,274,William Gholston
,0,1554,62,Mike Glennon
,0,3233,423,Steven Means
,0,2673,200,Akeem Spence
,0,3343,438,Daren Bates
,0,3152,344,Cody Davis
,0,182,35,Tavon Austin
,0,1490,198,Alec Ogletree
,0,2693,291,Tyrann Mathieu
,0,1916,262,Kevin Minter
,0,2953,220,Alex Okafor
,0,2081,154,Cornellius Carradine
,0,4892,419,Vance McDonald
,0,5302,63,Eric Reid
,0,2925,260,Darren Fells
,0,1815,157,Spencer Ware
,0,1879,154,Luke Willson
,0,3876,671,Nick Williams
,0,749,13,Rontez Miles
,0,4108,173,Tyler Bray
,0,430,7,Otha Foster
,0,2781,370,Josh Martin
,0,2348,264,Bradley McDougald
,0,2462,213,Demetrius Harris
,0,863,89,Jahleel Addae
,0,3187,29,Frank Beltre
,0,204,25,Will Compton
,0,2729,281,Rashaan Melvin
,0,1434,10,Mike Purcell
,0,1977,164,Levine Toilolo
,0,729,11,Jordan Dangerfield
,0,656,119,Terrell Sinkfield
,0,2765,366,Brandon Copeland
,0,3444,2,Will Pericak
,0,5266,55,Brynden Trawick
,0,252,20,Abry Jones
,0,4718,633,LaRoy Reynolds
,0,1484,94,Lawrence Okoye
,0,1165,122,Nickell Robey-Coleman
,0,3668,390,A.J. Bouye
,0,4155,731,Uzoma Nwachukwu
,0,5317,928,Jaron Brown
,0,1019,105,Tony Jefferson
,0,3118,534,Adam Thielen
,0,3149,44,Zach Line
,0,3137,322,Brandon Williams
,0,161,12,Jeff Heath
,0,3957,688,Eric Rogers
,0,4712,488,Michael Thomas
,0,3635,311,Jack Doyle
,0,4832,412,Derek Carrier
,0,3609,473,Nathan Stupar
,0,4270,184,Case Keenum
,0,2866,215,Benson Mayowa
,0,270,31,Ray-Ray Armstrong
,0,1915,261,Deon Lacey
,0,1757,140,Josh Hill
,0,2907,298,Mitchell White
,0,71,2,Beau Allen
,0,2503,218,Trey Burton
,0,3062,263,David Fluellen
,0,5216,445,Jordan Matthews
,0,869,14,Jaylen Watkins
,0,3666,483,Preston Brown
,0,185,24,Ross Cockrell
,0,4855,51,Kenny Ladler
,0,2034,357,Sammy Watkins
,0,467,9,Walt Aikens
,0,2579,436,Jarvis Landry
,0,3419,291,Damien Williams
,0,16,1,Malcolm Butler
,0,4515,195,Jimmy Garoppolo
,0,2040,176,Stephen Houston
,0,1230,112,James White
,0,2815,473,Quincy Enunwa
,0,3877,672,Shaquelle Evans
,0,1594,124,Kerry Hyder
,0,1147,121,Terrence Brooks
,0,5205,393,Timmy Jernigan
,0,1253,80,Jamie Meder
,0,5343,710,C.J. Mosley
,0,4704,354,Brent Urban
,0,2903,297,Darqueze Dennard
,0,5273,246,AJ McCarron
,0,2165,219,Pierre Desir
,0,1379,244,Taylor Gabriel
,0,2776,369,Christian Kirksey
,0,4934,871,Willie Snead
,0,3306,351,K'Waun Williams
,0,2398,179,Josh Mauro
,0,4253,314,Daniel McCullers
,0,4707,37,Roy Philon
,0,2140,215,Shaquille Richardson
,0,571,54,Stephon Tuitt
,0,4485,332,DaQuan Jones
,0,4504,798,Derel Walker
,0,259,30,Avery Williamson
,0,2865,56,Chris Boswell
,0,2965,222,Jadeveon Clowney
,0,88,5,Zach Kerr
,0,366,74,Donte Moncrief
,0,3611,67,Cody Parkey
,0,4540,198,Blake Bortles
,0,5327,549,Aaron Colvin
,0,2072,369,Allen Hurns
,0,77,12,Marqise Lee
,0,5262,543,Rashaad Reynolds
,0,2841,479,Allen Robinson
,0,403,33,Chris Smith
,0,3541,461,Shaquil Barrett
,0,4519,800,Bennie Fowler
,0,1709,306,Cody Latimer
,0,979,126,Corey Nelson
,0,4714,490,Bradley Roby
,0,1772,135,Dee Ford
,0,1641,171,Phillip Gaines
,0,911,23,Cairo Santos
,0,3985,412,Daniel Sorensen
,0,5307,925,De'Anthony Thomas
,0,5248,911,Albert Wilson
